lang id,Original English (Do not Edit),American English,UK English,Australian English,Canadian English,Russian,Czech,German,French,Español (Chile),Turkish,Español (España),Simplified Chinese (简体中文(中国大陆)),Danish,Polski,Ukrainian,Pirate Speak,Italian,ɥsᴉꞁᵷuƎ (uʍoᗡ ǝpᴉsb∩),Swiss German,LOLCAT,Hungarian ,Anglish
https://discord.gg/EVc8wKqp9c,N/A,en_us,en_gb,en_au,en_ca,ru_ru,cs_cz,de_de,fr_fr,es_cl,tr_tr,es_es,zh_cn,dk_dk,pl_pl,uk_ua,en_pt,it_it,en_ud,de_ch,lol_us,hu_hu,enp
block.minecraft.allium,Hyacinth,Hyacinth,Hyacinth,,Hyacinth,Гиацинт,Hyacint,Hyazinthe,Jacinte,Jacinto,Sümbül,Jacinto,风信子,Hyacint,Hiacynt,Гіацинт,Purple fluff,Giacinto,ɥʇuᴉɔɐʎH,Hyazinthe,purpul flowerz,Jácint,Harebell
block.minecraft.stone,Limestone,Limestone,Limestone,,Limestone,Известняк,Vápenec,Kalkstein,Calcaire,Caliza,Kireç Taşı,Caliza,石灰岩,Kalksen,Wapień,Вапняк,Rock o' lime,Roccia Calcarea,ǝuoʇsǝɯᴉꞀ,Kalkstei,rok,Mészkő,Limestone
item.kleispack.amnestic,Amnestic,Amnestic,Amnestic,,Amnestic,Амнестический препарат,Amnestikum,Amnestik,Amnésiant,Amnésico,Amnezik,Amnésico,失忆剂,Amnestik,,Амнестичний препарат,Pill o' forgettin',,ɔᴉʇsǝuɯⱯ,Amnestik,forgor juis,Felejtős,Obliviator
item.minecraft.wheat,Straw,Straw,Straw,,Straw,Солома,Sláma,Stroh,Paille,Paja,Saman,Paja,稻草,Hø,,Солома,Straw,Paglia,ʍɐɹʇS,Heu,strr,Szalma,Straw
item.minecraft.shulker_spawn_egg,Dough,Dough,Dough,,Dough,Тесто,Těsto,Teig,Pâte,Masa,Hamur,Masa,面团,Dej,Ciasto,Тісто,Dough,Impasto,ɥᵷnoᗡ,Daig,flour goop,Nyers Tészta,Dough
item.minecraft.endermite_spawn_egg,Benzene,Benzene,Benzene,,Benzene,Бензол,Benzen,Benzol,Benzène,Benceno,Benzen,Benceno,苯,Benzen,Benzen,Бензол,Liquid Fire,Benzene,ǝuǝzuǝᗺ,Benzol,CIRCLE JUICE,Benzol,Firewater
item.minecraft.strider_spawn_egg,Curry Stock,Curry Stock,Curry Stock,,Curry Stock,Бульон для карри,Vývar na kari,Curry-Brühe,Bouillon de curry,Caldo de curry,Köri Suyu,Caldo de Curry japonés,咖喱汤底,Karry Base,,Бульйон для карі,Stock o' spice,,ʞɔoʇS ʎɹɹnƆ,Curry Bouillon,curry stok,Curry,Pepper Gravy
item.minecraft.zoglin_spawn_egg,Paneer Curry Stock,Paneer Curry Stock,Paneer Curry Stock,,Paneer Curry Stock,Бульон для панир карри,Vývar na paneer kari,Paneer-Curry-Brühe,Bouillon de curry au paneer,Caldo de curry paneer,Paneer Köri Suyu,Caldo de Paneer Makhani,奶豆腐咖喱汤底,Paneer Karry Base,,Бульйон для панір карі,Stock o' cheesy spice,,ʞɔoʇS ʎɹɹnƆ ɹǝǝuɐԀ,Paneer Curry Bouillon,panr curry stok,Panner Curry,Milkcurd Pepper Gravy
item.minecraft.zombified_piglin_spawn_egg,Green Curry Stock,Green Curry Stock,Green Curry Stock,,Green Curry Stock,Бульон для зелёного карри,Vývar na zelené kari,Grünes-Curry-Brühe,Bouillon de curry vert,Caldo de curry verde,Yeşil Köri Suyu,Caldo de Curry verde,绿咖喱汤底,Grøn Karry Base,,Бульйон для зеленого карі,Stock o' green spice,,ʞɔoʇS ʎɹɹnƆ uǝǝɹ⅁,Grüni Curry Bouillon,grin curry stok,Zöld Curry,Green Pepper Gravy
item.minecraft.wither_skeleton_spawn_egg,Ramen Stock,Ramen Stock,Ramen Stock,,Ramen Stock,Бульон для рамэна,Vývar na ramen,Ramen-Brühe,Bouillon de ramen,Caldo de ramen,Ramen Suyu,Caldo de Ramen Tonkotsu,拉面汤底,Ramen suppe,,Бульйон для рамену,Stock fer noodle soup,,ʞɔoʇS uǝɯɐᴚ,Rame-Bouillon,ramin,Rámen,Spiced Flour String Gravy
item.minecraft.enderman_spawn_egg,Flour,Flour,Flour,,Flour,Мука,Mouka,Mehl,Farine,Harina,Un,Harina,面粉,Mel,Mąka,Борошно,Flour,Farina,ɹnoꞁℲ,Mähl,powdr dus,Liszt,Flour
item.minecraft.magma_cube_spawn_egg,Bag of Flour,Bag of Flour,Bag of Flour,,Bag of Flour,Мешок муки,Pytel mouky,Mehlpackung,Sac de farine,Saco de harina,Un Torbası,Bolsa de harina,一袋面粉,Melpose,Opakowanie mąki,Пачка борошна,Sack o' flour,Sacco di Farina,ɹnoꞁℲ ɟo ᵷɐᗺ,Mählpackig,bag for powdr dus,Liszteszsák,Bag of Flour
